A speadsheet containing data from some lifts I have been doing consistently over the years.,,,,,,,,,,Brzycki formula (used to give a uniform result for all data entries :,1RM = w x 36 (37 - r),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have opened the original google sheets as excel files and copy pasted the raw data over.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,Jun 27 pull @ P,Jun 28 legs @ P,Jun 29 push @ P,Jun 30 pull @ P,July 4 legs @ P,July 5 push @ ed,July 7 pull @ K,July 8 legs @ K,July 9 push @ K,July 10 pull @ P,July 13 legs @ P,July 14 push @ K,July 16 pull @ P,July 17 legs @ K,July 19 push @ K,July 20 pull @ K,July 23 legs @ K,3 Reps per set->,July 28 push @ K,July 30 pull @ P,Aug 1 legs @ P,Aug 2 push @ K,Aug 4 pull @ K,Aug 6 legs @ P,Aug 8 push @ P,Aug 9 pull @K,Aug 10 legs @ K,Aug 12 push @ Wv,Aug 15 push @ D,Aug 16 pull @ P,Aug 17 legs @ K,Aug 18 push @ K,Aug 20 pull @ P,Aug 22 legs @ K,Aug 23 push @ K,Aug 25 pull @ K,Aug 29 legs @ K,Aug 30 push,Aug 31 pull ,Sept 1 legs,Sept 3 push,Sept 5 pull,Sept 6 legs,Sept 7 push ,Sept 8 pull,Sept 9 legs,Sept 12 push,Sept 13 pull,Sept 15 legs,Sept 16 push,Sept 22 pull,Sept 23 legs,Sept 24 push,Sept 25 pull,Sept 27 legs @ wv,Sept 29 push,Sept 30 pull,Oct 1 legs ,Oct 2 push,Oct 5 pull,Oct 6 legs,Oct 8 push,Oct 9 pull,Oct 10 legs,Oct 11 push,Oct 13 pull,Oct 15 legs,Oct 16 push,Oct 17 pull,Oct 18 legs,Oct 20 push,Oct 22 pull,Oct 24 lega,Oct 25 pull,Oct 26 push,Oct 27 pull,Oct 28 push ,Oct 29 legs,Oct 30 pull,Oct 31 push,Nov 2 legs,Nov 3 pull,Nov 4 push,Nov 6 legs,Nov 7 pull,Nov 8 push,Nov 9 legs,Nov 10 push,Nov 11 pull,Nov 13 legs,Nov 14 push,Nov 15 pull,Nov 17 legs,Nov 18 push,Nov 19 pull,Nov 21 legs,Nov 22 push,Nov 23 pull,Nov 24 legs,Nov 25 push,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squat,,,,300 10 8 2 reps,,,310 5 reps 290 7 reps gooder eccentric 280 7reps,,,310 7 4 reps 300 5 reps,,,no,,,170 8 7.5 7extensions 185 6 67 reps,,,195 7 6 6 reps,,,hurt knee 195 6 185 4,,,55 9 8 reps before ext.,,,after ext. 45 8 11 reps,,,1 leg press 80 8 8,,,1 leg press 90 8 9,,,1 leg press 100 16 no plate behind 120 3 ,,,,120 10 9 reps,,,130 4 120 11 reps,,,130 12 12 reps,,,130 14 140 6 reps,,,140 7 130 11 reps ,,,140 7 7 repa,,,,,,140 8 5 reps,,,,,,140 9 9 reps,,,150 5 140 9 reps,,,150 7 4 reps,,,,,,,,,,,,,,,,,,,,,,,,,,,,265 4 4 3 reps,,,4 plate plus 15 no back thing 11? 4platw 25 9 9,,,265 5 4 225 6lol deep reps,,,4plate plus back thing plus 5s 7 4 3.5 reps,,,270 5 4 225 6 reps,,,275 4 3 low pause 225 5 reps,,,275 4 3 225 6 reps,,,275 2 3rd fail 245 5 reps,,,255 3 :((( 245 4 225 5 reps,,,4 plate plus 10 legpress 7 5 4plate 4,,,265 6 3 245 3 reps,,,4plate plus 10 legpress 6 4plate 6 3 plus 35 6 4,,,,4plate legpress 10 7 8 3 plate 25 5,,,weird legpress ,,,4plate plus10 8.5 5 4plqte 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,Jan 1 push ,Jan 2 poopy pull,Jan 3 push,Jan 5 legs,Jan 6 pull,Jan 8 push,Jan 8 push,Jan 11 legs,Jan 12 pull,Jan 13 push,Jan 15 legs,Jan 17 pull,Jan 18 push,Jan 19 legs,Jan 20 pull,Jan 21 push,Jan 24 legs,Jan 25 pull,Jan 26 push,Jan 28 legs,Jan 29 push,Jan 31 pull,Feb 1 legs,Feb 2 pull,Feb 3 push,Feb 4 legs,Feb 7 push,Feb 8 pull,Feb 10 legs,Feb 11 pull,Feb 12 push,Feb 15 pull,Feb 16 push,Feb 17 lrgs,Fab 18 pull,Feb 20 push,Feb 22 lega,Feb 23 pull,Feb 24 push ,Feb 26 legs,Feb 28 pull,Mar 1 push,Mar 2 legs,Mar 3 pull,Mar 5 push,Mar 7 legs,Mar 8 pull vrook,Mar 9 push,Mar 13 legs.,Mar 14 pull,Mar 15 push,Mar 17 pull,Mar 18 push,mar 19 legs,Mar 21 pull,Mar 22 push,Mar 23 legs,Mar 24 pull,Mar 25 push,Mar 27 legs,Mar 28 pull,Mar 29 push,Mar 30 legs,Mar 31 pull,Apr 2 push,Apr 4 legs,Apr 5 pull,Apr 7 push,Apr 9 legs,Apr 11 pull,Apr 12 push,Apr 16 legs,Apr 17 pull,Apr 19 push,Apr 20 legs,Apr 21 pull,Apr 22 push,Apr 23 lega,Apr 26 pull,Apr 28 legs,Apr 29 pull,Abr 30 push,May 1 legs,May 2 pull,May 4 push,May 5  legs,May 7 push,May 8 pull,May 9 legs ,May 11 pull,May 12 push,May 14 legs broo,May 15 push,May 16 pull,May 19 push,May 21 legs lol,May 23 push.,May 24 pull,May 26 legs,May 27 push,May 29 push,May 30 pull,May 31 legs,June 2 push ,June 3 pull,June 6 legs,June 8 push,June 9 pull,June 10 legs,June 12 push,June 13 pull,June 14 legs,June 16 push,Jun 17 pull,Jun 18 legs,Jun 19 push,Jun 20 pull,Jun 23 legs,Jun 24 push,Jun 25 pull,Jun 28 legs,Jun 29 push,Jun 30 pull,Jul 2 legs ish ,Jul 5 pull after bouldering,Jul 6 legs pf,Jul 8 push,Jul 9 pull,Jul 10 lega,Jul 12 push mehico,Jul 15 pull meh,Jul 19 push ,Jul 20 pull pf,Jul 21 legs,Jul 22 push,Jul 23 pull,Did 1 round till 29 legs?,Aug 3 push did some before idk,Ago 6 pull ,Ago 7 push,Ago 10 legs.,Aug 11 push,Aug 12 pull,Aug 14 legs,Aug 15 push,Aug 17 pull,Aug 19 legs,Aug 20 push,Aug 27 pull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bench,,bench. 165 5.5 4 145 7 135 6.5,,bench. 165 7 5 155 sum 135 7? larsen lil widerish,,,,120 8 7 5 115 reps,,,165 7 5 wideish 145 5 135 6 reps larsen,,,130 7 6 125 5 115 5reps,,,170 5 4 145 6 135 6 reps,,,130 5 125 6 4 115 6 reps 35 deg,,130 7 6 5 120 4.5 reps,,,,130 7 6 5 120 5 reps,,db 65 8 5.5 60 5 5 reps,,,,65 8 5 60 5 6 reps,,165 7 5 145 5.5 5.5 reps,,,65 7.5 6 4 60 5.5 reps,,,130 6 5.5 120 5 4.5 reps,,,170 5 4 150 5 135 6 reps,,,175 5 3 150 5 5 reps,,,65 7 4.5 4 60 5 reps,,,175 5 4 150 5 5 reps,,180 5 3 155 5 4 lil wider ,,,180 4.5 pauseish 175 4 155 5 4 reps,,,210 1rm 135 11.5 9.5 pause no leg ,,,185 4 3 135 9 7 reps,,,185 5 3 140 8 6 reps,,,185 5 4 140 9 8 reps,,,185 5.5 4 145 8 5 reps try 190,,,175 5 4 135 sum 8?9?reps,,,180 5.5 3 135 9 7 reps,,180 5.5 3 135 9 7 reps,,,185 3 3 145 6 135 6.5 reps,,,185 3 3 135 10 9 reps,,178.5? 6 5 reps,,,,175 7 5 145 6 135 sum reps wideish,,180 7 6 140 6 135 6 reps,,185 5.5 reps,,190 2.5 175 6.5 140 9 reps,,,190 3 175 5 140 8rep,($($($#,,,190 4 reps,,,190 4.5 180 5? reps,,,185 5.5 4.5? 145 reps,,,215 almost 225 195 4 reps  ,,,195 6 185 5.5 145 8.5 6? wideish reps,,,200 3 reps,,,195 4.5 reps,,,,,,,,,,190 5 3 155 6? 135 6? reps,,,190 closer 3.5? 4.5 reps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoulder Press,,,,,,,,,40 12 9 6 35 5 reps,,,45 10 7 4.5 35 6.5 reps ,,,45 10 7 5 40 7 reps,,,45 11 7.5 6 40 7 reps,,,,45 7.5 6 40 reps,,50 7.5 6 45 6? reps,,,50 8 7 4 45 5 reps,,,50 8 7 5 45 5 reps,,,,,50 9 6 5 45 6 reps ,,,50 9 5 3 reps,,,50 7 7 5 45 5.5 reps,,,50 9 6 5 45 5.5 reps,,,50 8 5.5 reps,,,50 8 7 4.5 45 4.5 reps,,,,,50 9 6 5 45 5.5 reps first,,,50 9 5.5 reps,,,50 10 7.5 5? reps,,,50 9 7 4? reps low bench ,,,50 7.5 6 5 reps,,,50 10 6 6 4.5 repd,,,45 9.5 8 reps,,,45 10.5 8?9? 5 6 reps,,,50 9 7 45 6.5 5.5 5 reps,,50 9 5 45 reps,,,50 9 9 5.5? reps,,,50 10 6.5 5 reps  ,,,55 7 5 45 6 reps,,,,,,,55 7 reps,,,ohp 95 6 reps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squat,,,,,squat 245 5 6 3 form check day,,,,255 5 6 5 reps hit depth,,,265 5 4 3 reps,,,275 5 4 3 reps,,,275 5 4 2 reps,,,280 4 4 1lol reps,,,285 4 3 235 5 reps pause,,,225 6 6 4 reps snowboard day before ,,,285 4 3 225 5 reps put more weight for pause reps,,,,,275 4 4 245 reps,,,285 4 3 255 3 pausereps,,,290 3 3 255 4 reps,,,290 4 4 255 5? reps,,,295 4 3 255 4? 2 sec pause reps,,,295 4 2 reos,,,,,leg press 4 plate and 25 on top 8 5 no 25 6,,,300 3 3 255 lol do more weight pause reps,,,300 4 3 reps,,,300 5 3 reps,,,4 plate 25 8 7 3,,,machinelol 410 3 380 4 reps ,,,squat 300 2 275 3 reps much better if dont lean forward,,,275 4 2.5 reps,,,285 4 reps do 300 with good form next ,,4 plate plus 25 9 5.5 4plate,,,295 3 275 3 reps,,,machine 380,,,pistol lol,,,4 plate 25 reps 6 5,,,,,,,4 plate plus 2 10s reps,,,,,,,,,,Hack squat 2 plate,,,hack squat 2 plate plus 10 7 reps,,,hack squat 2 plate plus 25 ,,,2platw 25 plus 5 reps 6,,,2plate 25 plus 5 6ish,,,,,5 plates 10? 7 ,,,45 35 25 reps,,,,,2 plate plus 25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mar 30 - incline bb bench, 1 leg press",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
